id,booking_id,amount_inr,payment_method,payment_type,status_id,transaction_id,razorpay_order_id,razorpay_payment_id,razorpay_signature,remarks,created_at
1,1,5700,CARD,PAYMENT,7,TXN_000000000010,ORDER_000000000010,PAYMENT_000000000010,SIGNATURE_000000000010,Payment for freeze booking,2025-11-01 02:00:00+05:30
2,2,11950,CARD,PAYMENT,7,TXN_000000000011,ORDER_000000000011,PAYMENT_000000000011,SIGNATURE_000000000011,Payment for freeze booking,2025-11-04 02:00:00+05:30
3,3,9060,CARD,PAYMENT,7,TXN_000000000012,ORDER_000000000012,PAYMENT_000000000012,SIGNATURE_000000000012,Payment for freeze booking,2025-11-07 02:00:00+05:30
4,4,9400,CARD,PAYMENT,7,TXN_000000000013,ORDER_000000000013,PAYMENT_000000000013,SIGNATURE_000000000013,Payment for freeze booking,2025-11-10 02:00:00+05:30
5,5,10760,CARD,PAYMENT,7,TXN_000000000014,ORDER_000000000014,PAYMENT_000000000014,SIGNATURE_000000000014,Payment for freeze booking,2025-11-13 02:00:00+05:30
6,1,2500,UPI,ADD_PAYMENT,14,TXN_000000000015,ORDER_000000000015,PAYMENT_000000000015,SIGNATURE_000000000015,Settlement Payment,2025-11-02 10:32:00+05:30
7,4,2000,UPI,REJECTION_REFUND,13,TXN_000000000016,ORDER_000000000016,PAYMENT_000000000016,SIGNATURE_000000000016,Admin confirmed refund manually,2025-11-11 12:00:00+05:30
8,3,1400,UPI,REFUND,13,TXN_000000000017,ORDER_000000000017,PAYMENT_000000000017,SIGNATURE_000000000017,Admin confirmed refund manually,2025-11-08 12:00:00+05:30
9,5,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000018,ORDER_000000000018,PAYMENT_000000000018,SIGNATURE_000000000018,Admin confirmed refund manually,2025-11-14 12:00:00+05:30
10,6,5700,CARD,PAYMENT,7,TXN_000000000019,ORDER_000000000019,PAYMENT_000000000019,SIGNATURE_000000000019,Payment for freeze booking,2025-11-16 02:00:00+05:30
11,7,11950,CARD,PAYMENT,7,TXN_000000000020,ORDER_000000000020,PAYMENT_000000000020,SIGNATURE_000000000020,Payment for freeze booking,2025-11-19 02:00:00+05:30
12,8,9060,CARD,PAYMENT,7,TXN_000000000021,ORDER_000000000021,PAYMENT_000000000021,SIGNATURE_000000000021,Payment for freeze booking,2025-11-22 02:00:00+05:30
13,9,9400,CARD,PAYMENT,7,TXN_000000000022,ORDER_000000000022,PAYMENT_000000000022,SIGNATURE_000000000022,Payment for freeze booking,2025-11-25 02:00:00+05:30
14,10,10760,CARD,PAYMENT,7,TXN_000000000023,ORDER_000000000023,PAYMENT_000000000023,SIGNATURE_000000000023,Payment for freeze booking,2025-11-28 02:00:00+05:30
15,6,2500,UPI,ADD_PAYMENT,14,TXN_000000000024,ORDER_000000000024,PAYMENT_000000000024,SIGNATURE_000000000024,Settlement Payment,2025-11-17 10:32:00+05:30
16,9,2000,UPI,REJECTION_REFUND,13,TXN_000000000025,ORDER_000000000025,PAYMENT_000000000025,SIGNATURE_000000000025,Admin confirmed refund manually,2025-11-26 12:00:00+05:30
17,8,1400,UPI,REFUND,13,TXN_000000000026,ORDER_000000000026,PAYMENT_000000000026,SIGNATURE_000000000026,Admin confirmed refund manually,2025-11-23 12:00:00+05:30
18,10,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000027,ORDER_000000000027,PAYMENT_000000000027,SIGNATURE_000000000027,Admin confirmed refund manually,2025-11-29 12:00:00+05:30
19,11,5700,CARD,PAYMENT,7,TXN_000000000028,ORDER_000000000028,PAYMENT_000000000028,SIGNATURE_000000000028,Payment for freeze booking,2025-12-01 02:00:00+05:30
20,12,11950,CARD,PAYMENT,7,TXN_000000000029,ORDER_000000000029,PAYMENT_000000000029,SIGNATURE_000000000029,Payment for freeze booking,2025-12-04 02:00:00+05:30
21,13,9060,CARD,PAYMENT,7,TXN_000000000030,ORDER_000000000030,PAYMENT_000000000030,SIGNATURE_000000000030,Payment for freeze booking,2025-12-07 02:00:00+05:30
22,14,9400,CARD,PAYMENT,7,TXN_000000000031,ORDER_000000000031,PAYMENT_000000000031,SIGNATURE_000000000031,Payment for freeze booking,2025-12-10 02:00:00+05:30
23,15,10760,CARD,PAYMENT,7,TXN_000000000032,ORDER_000000000032,PAYMENT_000000000032,SIGNATURE_000000000032,Payment for freeze booking,2025-12-13 02:00:00+05:30
24,11,2500,UPI,ADD_PAYMENT,14,TXN_000000000033,ORDER_000000000033,PAYMENT_000000000033,SIGNATURE_000000000033,Settlement Payment,2025-12-02 10:32:00+05:30
25,14,2000,UPI,REJECTION_REFUND,13,TXN_000000000034,ORDER_000000000034,PAYMENT_000000000034,SIGNATURE_000000000034,Admin confirmed refund manually,2025-12-11 12:00:00+05:30
26,13,1400,UPI,REFUND,13,TXN_000000000035,ORDER_000000000035,PAYMENT_000000000035,SIGNATURE_000000000035,Admin confirmed refund manually,2025-12-08 12:00:00+05:30
27,15,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000036,ORDER_000000000036,PAYMENT_000000000036,SIGNATURE_000000000036,Admin confirmed refund manually,2025-12-14 12:00:00+05:30
28,16,5700,CARD,PAYMENT,7,TXN_000000000037,ORDER_000000000037,PAYMENT_000000000037,SIGNATURE_000000000037,Payment for freeze booking,2025-12-16 02:00:00+05:30
29,17,11950,CARD,PAYMENT,7,TXN_000000000038,ORDER_000000000038,PAYMENT_000000000038,SIGNATURE_000000000038,Payment for freeze booking,2025-12-19 02:00:00+05:30
30,18,9060,CARD,PAYMENT,7,TXN_000000000039,ORDER_000000000039,PAYMENT_000000000039,SIGNATURE_000000000039,Payment for freeze booking,2025-12-22 02:00:00+05:30
31,19,9400,CARD,PAYMENT,7,TXN_000000000040,ORDER_000000000040,PAYMENT_000000000040,SIGNATURE_000000000040,Payment for freeze booking,2025-12-25 02:00:00+05:30
32,20,10760,CARD,PAYMENT,7,TXN_000000000041,ORDER_000000000041,PAYMENT_000000000041,SIGNATURE_000000000041,Payment for freeze booking,2025-12-28 02:00:00+05:30
33,16,2500,UPI,ADD_PAYMENT,14,TXN_000000000042,ORDER_000000000042,PAYMENT_000000000042,SIGNATURE_000000000042,Settlement Payment,2025-12-17 10:32:00+05:30
34,19,2000,UPI,REJECTION_REFUND,13,TXN_000000000043,ORDER_000000000043,PAYMENT_000000000043,SIGNATURE_000000000043,Admin confirmed refund manually,2025-12-26 12:00:00+05:30
35,18,1400,UPI,REFUND,13,TXN_000000000044,ORDER_000000000044,PAYMENT_000000000044,SIGNATURE_000000000044,Admin confirmed refund manually,2025-12-23 12:00:00+05:30
36,20,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000045,ORDER_000000000045,PAYMENT_000000000045,SIGNATURE_000000000045,Admin confirmed refund manually,2025-12-29 12:00:00+05:30
37,21,5700,CARD,PAYMENT,7,TXN_000000000001,ORDER_000000000001,PAYMENT_000000000001,SIGNATURE_000000000001,Payment for freeze booking,2026-01-01 02:00:00+05:30
38,22,6380,CARD,PAYMENT,7,TXN_000000000002,ORDER_000000000002,PAYMENT_000000000002,SIGNATURE_000000000002,Payment for freeze booking,2026-01-04 02:00:00+05:30
39,23,9060,CARD,PAYMENT,7,TXN_000000000003,ORDER_000000000003,PAYMENT_000000000003,SIGNATURE_000000000003,Payment for freeze booking,2026-01-07 02:00:00+05:30
40,24,9400,CARD,PAYMENT,7,TXN_000000000004,ORDER_000000000004,PAYMENT_000000000004,SIGNATURE_000000000004,Payment for freeze booking,2026-01-10 02:00:00+05:30
41,25,10760,CARD,PAYMENT,7,TXN_000000000005,ORDER_000000000005,PAYMENT_000000000005,SIGNATURE_000000000005,Payment for freeze booking,2026-01-13 02:00:00+05:30
42,21,2500,UPI,ADD_PAYMENT,14,TXN_000000000006,ORDER_000000000006,PAYMENT_000000000006,SIGNATURE_000000000006,Settlement Payment,2026-01-02 10:32:00+05:30
43,24,2000,UPI,REJECTION_REFUND,13,TXN_000000000007,ORDER_000000000007,PAYMENT_000000000007,SIGNATURE_000000000007,Admin confirmed refund manually,2026-01-11 12:00:00+05:30
44,23,1400,UPI,REFUND,13,TXN_000000000008,ORDER_000000000008,PAYMENT_000000000008,SIGNATURE_000000000008,Admin confirmed refund manually,2026-01-08 12:00:00+05:30
45,25,5280,UPI,CANCELLATION_REFUND,13,TXN_000000000009,ORDER_000000000009,PAYMENT_000000000009,SIGNATURE_000000000009,Admin confirmed refund manually,2026-01-14 12:00:00+05:30
